Word,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,cogproc,percept,see,hear,feel,drives,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,informal
bothered,,,,,,,X,,X,,X,,,,,,,,,,,,,,,,
blind,,,,,,,,,,,,,,,X,X,,,,,,,,,,,
aggressiveness,,,,,,,,,,,,,,,,,,,,,,,,,,,
disapointment,,,,,,,,,,,,,,,,,,,,,,,,,,,
silence,,,,,,,,,,,,,,,X,,X,,,,,,,,,,
dissappointment,,,,,,,,,,,,,,,,,,,,,,,,,,,
obstinate,,,,,,,,,,,,,,,,,,,,,,,,,,,
cold,,X,,,,,,,,,,,,,X,,,X,,,,,,,,,
nostalgia,,,,,,,,,,,,,,,,,,,,,,,,,,,
distrust,,,,,,,X,,X,,X,,,,,,,,X,,,X,,,,,
rabid,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,X,X,,,,,,,,,,,,X,,,,,,,,,,X,,,
thoughts,,,,,,,,,,,,,,X,,,,,,,,,,,,,
