Word,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,
individual,,,,,,,X,,,,,,,,,,,
do,,,,,,,,,,,,,,,,,,
deserve,,,,,,,,,,,,,,,,,,
forgiven,X,X,,,,,X,,,,,X,X,,,,,
these,,,,,,,,,,,,,,,,,,
days,,,,,,,,,,,,,,,,,,
cheated,X,,X,,X,,,,,,,,,,,,,
consumes,,,,,,,,,,,,,,,,,,
every,,,,,,,,,,,,X,,,,,X,
thought,,,,,,,,,,,,X,X,,,,,
gets,,,,,,,,,,,,,,,,,,
down,,,,,,,,,,,,,,,,,,
able,,,,,,,,,,,,,,,,,,
though,,,,,,,,,,,,X,,,,,,X
fair,X,X,,,,,,,,,,,,,,,,
manor,,,,,,,,,,,,,,,,,,
healed,X,X,,,,,,,,,,,,,,,,
trauma,X,,X,,,,,,,,,,,,,,,
relationship,,,,,,,X,,,,,,,,,,,
was,,,,,,,,,,,,,,,,,,
different,,,,,,,,,,,,X,,,,,,X
back,,,,,,,,,,,,,,,,,,
normal,,,,,,,,,,,,,,,,,,
love,X,X,,,,,X,,,,,,,,,,,
angry,X,,X,,X,,,,,,,,,,,,,
whenever,,,,,,,,,,,,,,,,,,
inner,,,,,,,,,,,,,,,,,,
hatred,X,,X,,X,,,,,,,,,,,,,
type,,,,,,,,,,,,,,,,,,
now,,,,,,,,,,,,,,,,,,
owes,,,,,,,,,,,,,,,,,,
best,X,X,,,,,,,,,,,,,,,,
remain,,,,,,,,,,,,,,,,,,
touch,,,,,,,,,,,,,,,,,,
expecting,,,,,,,,,,,,X,,,X,,,
hasn't,,,,,,,,,,,,X,,,,,,X
expect,,,,,,,,,,,,X,,,X,,,
apology,,,,,,,X,,,,,,,,,,,
never,,,,,,,,,,,,X,,,,,X,
receive,,,,,,,X,,,,,,,,,,,
forward,,,,,,,,,,,,,,,,,,
thing,,,,,,,,,,,,,,,,,,
makes,,,,,,,,,,,,X,,X,,,,
better,X,X,,,,,,,,,,,,,,,,
that's,,,,,,,,,,,,,,,,,,
suffer,X,,X,,,X,,,,,,,,,,,,
retaliation,,,,,,,,,,,,,,,,,,
doesnt,,,,,,,,,,,,,,,,,,
said,,,,,,,X,,,,,,,,,,,
offended,X,,X,,X,,,,,,,,,,,,,
deeper,,,,,,,,,,,,,,,,,,
harmed,X,,X,,,,,,,,,,,,,,,
mentally,,,,,,,,,,,,,,,,,,
repercussions,,,,,,,,,,,,,,,,,,
aggressor,X,,X,,X,,,,,,,,,,,,,
find,,,,,,,,,,,,X,X,,,,,
overcome,,,,,,,,,,,,,,,,,,
response,,,,,,,,,,,,X,,X,,,,
advantage,X,X,,,,,,,,,,,,,,,,
purely,,,,,,,,,,,,X,,,,,X,
logical,,,,,,,,,,,,X,X,,,,,
certainly,X,X,,,,,,,,,,X,,,,,X,
why,,,,,,,,,,,,X,,X,,,,
wrongs,X,,X,,,,,,,,,,,,,,,
close,,,,,,,,,,,,,,,,,,
justice,,,,,,,,,,,,,,,,,,
help,,,,,,,X,,,,,,,,,,,
shape,,,,,,,,,,,,,,,,,,
form,,,,,,,,,,,,,,,,,,
main,,,,,,,,,,,,,,,,,,
