Word,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,
adult,,,,,,,X,,,,,,,,,,,
gum,,,,,,,,,,,,,,,,,,
from,,,,,,,,,,,,,,,,,,
given,,,,,,,,,,,,,,,,,,
promotion,,,,,,,,,,,,,,,,,,
deservedly,,,,,,,,,,,,,,,,,,
beat,,,,,,,,,,,,,,,,,,
square,,,,,,,,,,,,,,,,,,
there's,,,,,,,,,,,,,,,,,,
minor,,,,,,,,,,,,,,,,,,
offenses,X,,X,,X,,,,,,,,,,,,,
don't,,,,,,,,,,,,,,,,,,
matter,,,,,,,,,,,,,,,,,,
much,,,,,,,,,,,,,,,,,,
grand,X,X,,,,,,,,,,,,,,,,
scheme,,,,,,,,,,,,,,,,,,
people,,,,,,,X,,,,,,,,,,,
little,,,,,,,,,,,,,,,,,,
impact,,,,,,,,,,,,,,,,,,
life,,,,,,,,,,,,,,,,,,
some,,,,,,,,,,,,X,,,,X,,
random,,,,,,,,,,,,X,,,,X,,
rude,X,,X,,X,,,,,,,,,,,,,
subway,,,,,,,,,,,,,,,,,,
it's,,,,,,,,,,,,,,,,,,
worth,,,,,,,,,,,,,,,,,,
stress,X,,X,X,,,,,,,,,,,,,,
animosity,,,,,,,,,,,,,,,,,,
you'll,,,,,,,X,,,,,,,,,,,
probably,,,,,,,,,,,,X,,,,X,,
never,,,,,,,,,,,,X,,,,,X,
see,,,,,,,,,,,,,,,,,,
all,,,,,,,,,,,,X,,,,,X,
them,,,,,,,X,,,,,,,,,,,
useless,X,,X,,,X,,,,,,,,,,,,
way,,,,,,,,,,,,,,,,,,
been,,,,,,,,,,,,,,,,,,
affects,,,,,,,,,,,,X,,X,,,,
short,,,,,,,,,,,,,,,,,,
term,,,,,,,,,,,,,,,,,,
plans,,,,,,,,,,,,,,,,,,
last,,,,,,,,,,,,,,,,,,
bagel,,,,,,,,,,,,,,,,,,
matters,,,,,,,,,,,,,,,,,,
placing,,,,,,,,,,,,,,,,,,
blame,X,,X,,X,,X,,,,,,,,,,,
holding,,,,,,,,,,,,,,,,,,
because,,,,,,,,,,,,X,,X,,,,
buy,,,,,,,,,,,,,,,,,,
gift,,,,,,,,,,,,,,,,,,
same,,,,,,,,,,,,,,,,,,
amount,,,,,,,,,,,,,,,,,,
spent,,,,,,,,,,,,,,,,,,
stupid,X,,X,,X,,,,,,,,,,,,,
prank,,,,,,,,,,,,,,,,,,
made,,,,,,,,,,,,X,,X,,,,
joke,X,X,,,,,,,,,,,,,,,,
didn't like,X,X,,,,,,,,,,,,,,,,
cause,,,,,,,,,,,,X,,X,,,,
any,,,,,,,,,,,,X,,,,X,,
harm,X,,X,,,,,,,,,,,,,,,
honest,X,X,,,,,,,,,,,,,,,,
offers,,,,,,,X,,,,,,,,,,,
forgiveness,X,X,,,,,X,,,,,X,X,,,,,
retribution,,,,,,,,,,,,,,,,,,
still,,,,,,,,,,,,,,,,,,
gets,,,,,,,,,,,,,,,,,,
instead,,,,,,,,,,,,X,,,,,,X
extenuating,,,,,,,,,,,,,,,,,,
circumstances,,,,,,,,,,,,,,,,,,
fight,X,,X,,X,,X,,,,,,,,,,,
anything,,,,,,,,,,,,X,,,,X,,
relating,,,,,,,,,,,,X,X,,,,,
money,,,,,,,,,,,,,,,,,,
comes,,,,,,,,,,,,,,,,,,
goes,,,,,,,,,,,,,,,,,,
many,,,,,,,,,,,,,,,,,,
arguements,X,,X,,X,,X,,,,,,,,,,,
mine,,,,,,,,,,,,,,,,,,
position,,,,,,,,,,,,,,,,,,
provide,,,,,,,X,,,,,,,,,,,
employment,,,,,,,,,,,,,,,,,,
candidates,,,,,,,,,,,,,,,,,,
ends,,,,,,,,,,,,,,,,,,
choosing,,,,,,,,,,,,X,X,,,,,
than,,,,,,,,,,,,X,,,,,,X
he,,,,,,,X,,,,X,,,,,,,
she,,,,,,,X,,,X,,,,,,,,
fit,,,,,,,,,,,,,,,,,,
incident,,,,,,,,,,,,,,,,,,
reveal,,,,,,,,,,,,X,X,,,,,
pattern,,,,,,,,,,,,,,,,,,
behavior,,,,,,,,,,,,,,,,,,
injury,,,,,,,,,,,,,,,,,,
less,,,,,,,,,,,,,,,,,,
distress,X,,X,X,,,,,,,,,,,,,,
causing,,,,,,,,,,,,X,,X,,,,
acquaintance,,,,,,,X,,X,,,,,,,,,
regularly,,,,,,,,,,,,,,,,,,
choose,,,,,,,,,,,,X,X,,,,,
interact,,,,,,,X,,,,,,,,,,,
dealing,,,,,,,,,,,,,,,,,,
child,,,,,,,X,,,,,,,,,,,
intellectual,X,X,,,,,,,,,,,,,,,,
disability,,,,,,,,,,,,,,,,,,
truly,X,X,,,,,,,,,,X,,,,,X,
sorry,X,,X,,,X,,,,,,,,,,,,
parents,,,,,,,X,X,,,,,,,,,,
even,,,,,,,,,,,,,,,,,,
do not like,X,X,,,,,,,,,,,,,,,,
do not,,,,,,,,,,,,,,,,,,
intention,,,,,,,,,,,,X,,X,,,,
disagrees,X,,X,,,,,,,,,,,,,,,
religion,,,,,,,,,,,,,,,,,,
points,,,,,,,,,,,,,,,,,,
said,,,,,,,X,,,,,,,,,,,
we,,,,,,,X,,,,,,,,,,,
go,,,,,,,,,,,,,,,,,,
along,,,,,,,,,,,,,,,,,,
line,,,,,,,,,,,,,,,,,,
thinking,,,,,,,,,,,,X,X,,,,,
group,,,,,,,X,,,,,,,,,,,
