Word,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,
energy,X,X,,,,,,,,,,,,,,,,
betrays,,,,,,,,,,,,,,,,,,
word,,,,,,,,,,,,,,,,,,
normal,,,,,,,,,,,,,,,,,,
drunk,,,,,,,,,,,,,,,,,,
while,,,,,,,,,,,,,,,,,,
driving,,,,,,,,,,,,,,,,,,
speeding,,,,,,,,,,,,,,,,,,
down,,,,,,,,,,,,,,,,,,
street,,,,,,,,,,,,,,,,,,
car,,,,,,,,,,,,,,,,,,
hit,,,,,,,,,,,,,,,,,,
damage,X,,X,,,,,,,,,,,,,,,
leads,,,,,,,,,,,,X,,X,,,,
romantic,X,X,,,,,,,,,,,,,,,,
partner,,,,,,,X,,X,,,,,,,,,
killed,X,,X,,X,,,,,,,,,,,,,
person's,,,,,,,X,,,,,,,,,,,
stupid,X,,X,,X,,,,,,,,,,,,,
decision,,,,,,,,,,,,X,X,,,,,
cost,,,,,,,,,,,,,,,,,,
love,X,X,,,,,X,,,,,,,,,,,
wanted,,,,,,,,,,,,X,,,X,,,
fun,X,X,,,,,,,,,,,,,,,,
night,,,,,,,,,,,,,,,,,,
responsible,,,,,,,,,,,,,,,,,,
injury,,,,,,,,,,,,,,,,,,
abused,X,,X,,X,,,,,,,,,,,,,
especially,,,,,,,,,,,,X,,,,,X,
more,,,,,,,,,,,,,,,,,,
protective,,,,,,,,,,,,,,,,,,
let's,,,,,,,X,,,,,,,,,,,
say,,,,,,,X,,,,,,,,,,,
girlfriend,,,,,,,X,,X,,,,,,,,,
cheats,X,,X,,X,,,,,,,,,,,,,
best,X,X,,,,,,,,,,,,,,,,
particularly,,,,,,,,,,,,X,,,,,X,
bad,X,,X,,,,,,,,,,,,,,,
can,,,,,,,,,,,,,,,,,,
warranted,,,,,,,,,,,,,,,,,,
meant,,,,,,,,,,,,X,X,,,,,
extreme,,,,,,,,,,,,,,,,,,
sign,,,,,,,,,,,,,,,,,,
anymore,,,,,,,,,,,,,,,,,,
onto,,,,,,,,,,,,,,,,,,
those,,,,,,,,,,,,,,,,,,
natural,,,,,,,,,,,,,,,,,,
yourself,,,,,,,X,,,,,,,,,,,
why,,,,,,,,,,,,X,,X,,,,
don't like,X,X,,,,,,,,,,,,,,,,
mistreated,,,,,,,,,,,,,,,,,,
unjust,,,,,,,,,,,,,,,,,,
situations,,,,,,,,,,,,,,,,,,
government,,,,,,,,,,,,,,,,,,
decisions,,,,,,,,,,,,X,X,,,,,
one's,,,,,,,,,,,,,,,,,,
proper,,,,,,,,,,,,,,,,,,
slights,,,,,,,,,,,,,,,,,,
necessarily,,,,,,,,,,,,X,,,,,X,
only,,,,,,,,,,,,,,,,,,
poisoning,X,,X,,X,,,,,,,,,,,,,
expecting,,,,,,,,,,,,X,,,X,,,
get,,,,,,,,,,,,,,,,,,
sick,X,,X,,,,,,,,,,,,,,,
resolution,,,,,,,,,,,,X,X,,,,,
try,,,,,,,,,,,,X,,,,X,,
closure,,,,,,,,,,,,X,X,,,,,
within,,,,,,,,,,,,,,,,,,
performed,,,,,,,,,,,,,,,,,,
regret,X,,X,,,X,,,,,,X,,,X,,,
they've,,,,,,,X,,,,,,,,,,,
wrongdoing,X,,X,,,,,,,,,,,,,,,
morally,,,,,,,,,,,,,,,,,,
reprehensible,,,,,,,,,,,,,,,,,,
i.e.,,,,,,,,,,,,,,,,,,
kills,X,,X,,X,,,,,,,,,,,,,
kitten,,,,,,,,,,,,,,,,,,
keeps,,,,,,,,,,,,,,,,,,
lets,,,,,,,X,,,,,,,,,,,
financial,,,,,,,,,,,,,,,,,,
murder,X,,X,,X,,,,,,,,,,,,,
able,,,,,,,,,,,,,,,,,,
clearly,,,,,,,,,,,,X,,,,,X,
you'd,,,,,,,X,,,,,,,,,,,
lose,X,,X,,,X,,,,,,,,,,,,
helpful,X,X,,,,,X,,,,,,,,,,,
never,,,,,,,,,,,,X,,,,,X,
short,,,,,,,,,,,,,,,,,,
knowingly,,,,,,,,,,,,,,,,,,
harms,X,,X,,,,,,,,,,,,,,,
show,,,,,,,,,,,,,,,,,,
wronfuly,,,,,,,,,,,,,,,,,,
crime,,,,,,,,,,,,,,,,,,
forgiven,X,X,,,,,X,,,,,X,X,,,,,
gotten,,,,,,,,,,,,,,,,,,
away,,,,,,,,,,,,,,,,,,
killing,X,,X,,X,,,,,,,,,,,,,
taking,,,,,,,,,,,,,,,,,,
grievous,X,,X,,,X,,,,,,,,,,,,
bigger,,,,,,,,,,,,,,,,,,
odds,,,,,,,,,,,,,,,,,,
each,,,,,,,,,,,,,,,,,,
acceptable,X,X,,,,,,,,,,X,X,,,,,
unapologetically,,,,,,,,,,,,,,,,,,
persistently,,,,,,,,,,,,,,,,,,
bullies,,,,,,,,,,,,,,,,,,
shows,,,,,,,,,,,,,,,,,,
later,,,,,,,,,,,,,,,,,,
conflict,,,,,,,,,,,,,,,,,,
resolved,X,X,,,,,,,,,,X,X,,,,,
yet,,,,,,,,,,,,,,,,,,
animal,,,,,,,,,,,,,,,,,,
deal,,,,,,,,,,,,,,,,,,
issue,,,,,,,,,,,,,,,,,,
move,,,,,,,,,,,,,,,,,,
reconcile,,,,,,,,,,,,X,X,,,,,
ask,,,,,,,X,,,,,,,,,,,
coworker,,,,,,,X,,,,,,,,,,,
help,,,,,,,X,,,,,,,,,,,
can't,,,,,,,,,,,,X,,,,,,X
goofing,,,,,,,,,,,,,,,,,,
off,,,,,,,,,,,,,,,,,,
productive,,,,,,,,,,,,X,,X,,,,
helped,,,,,,,,,,,,,,,,,,
along,,,,,,,,,,,,,,,,,,
stolen,,,,,,,,,,,,,,,,,,
somebofy,,,,,,,,,,,,,,,,,,
dear,X,X,,,,,X,,X,,,,,,,,,
without,,,,,,,,,,,,X,,,,,,X
somebody,,,,,,,X,,,,,X,,,,X,,
horrific,,,,,,,,,,,,,,,,,,
things,,,,,,,,,,,,,,,,,,
rapists,X,,X,,X,,,,,,,,,,,,,
murders,X,,X,,X,,,,,,,,,,,,,
manipulated,,,,,,,,,,,,X,,X,,,,
into,,,,,,,,,,,,,,,,,,
honestly,X,X,,,,,,,,,,,,,,,,
understand,,,,,,,,,,,,X,X,,,,,
extremely,,,,,,,,,,,,X,,,,,X,
illegal,,,,,,,,,,,,,,,,,,
member,,,,,,,X,,,,,,,,,,,
sets,,,,,,,,,,,,,,,,,,
disrupt,,,,,,,,,,,,,,,,,,
continues,,,,,,,,,,,,,,,,,,
irreversible,,,,,,,,,,,,,,,,,,
constantly,,,,,,,,,,,,,,,,,,
personally,,,,,,,,,,,,,,,,,,
limits,,,,,,,,,,,,,,,,,,
growth,,,,,,,,,,,,,,,,,,
hurtful,X,,X,,,X,,,,,,,,,,,,
egregious,,,,,,,,,,,,,,,,,,
am,,,,,,,,,,,,,,,,,,
incited,,,,,,,,,,,,,,,,,,
create,X,X,,,,,,,,,,X,,X,,,,
focus,,,,,,,,,,,,,,,,,,
attempted,,,,,,,,,,,,,,,,,,
remedy,,,,,,,,,,,,,,,,,,
empathize,,,,,,,,,,,,,,,,,,
comes,,,,,,,,,,,,,,,,,,
suddenly,,,,,,,,,,,,,,,,,,
slams,,,,,,,,,,,,,,,,,,
table,,,,,,,,,,,,,,,,,,
clue,,,,,,,,,,,,X,X,,,,,
saying,,,,,,,X,,,,,,,,,,,
sexually,,,,,,,,,,,,,,,,,,
accountable,,,,,,,,,,,,,,,,,,
lifelong,,,,,,,,,,,,,,,,,,
basically,,,,,,,,,,,,,,,,,,
worst,X,,X,,,,,,,,,,,,,,,
scenario,,,,,,,,,,,,,,,,,,
probably,,,,,,,,,,,,X,,,,X,,
spouse,,,,,,,X,X,,,,,,,,,,
sorry,X,,X,,,X,,,,,,,,,,,,
repentant,,,,,,,,,,,,,,,,,,
still,,,,,,,,,,,,,,,,,,
around,,,,,,,,,,,,,,,,,,
type,,,,,,,,,,,,,,,,,,
lead,,,,,,,,,,,,X,,X,,,,
resentment,X,,X,,X,,,,,,,,,,,,,
possibly,,,,,,,,,,,,X,,,,X,,
look,,,,,,,,,,,,,,,,,,
realize,,,,,,,,,,,,X,X,,,,,
these,,,,,,,,,,,,,,,,,,
types,,,,,,,,,,,,,,,,,,
committed,,,,,,,,,,,,X,,,,,X,
average,,,,,,,,,,,,,,,,,,
acted,,,,,,,,,,,,,,,,,,
approach,,,,,,,,,,,,,,,,,,
first,,,,,,,,,,,,,,,,,,
deep,,,,,,,,,,,,,,,,,,
apologized,,,,,,,X,,,,,,,,,,,
dealing,,,,,,,,,,,,,,,,,,
pain,X,,X,,,,,,,,,,,,,,,
effects,,,,,,,,,,,,X,X,X,,,,
whatever,,,,,,,,,,,,,,,,,,
generally,,,,,,,,,,,,X,,,,X,,
until,,,,,,,,,,,,,,,,,,
mad,X,,X,,X,,,,,,,,,,,,,
fails,X,,X,,,X,,,,,,,,,,,,
important,X,X,,,,,,,,,,,,,,,,
promise,X,X,,,,,,,,,,X,,,,,X,
latter,,,,,,,,,,,,,,,,,,
depend,,,,,,,,,,,,X,,X,,X,,
else's,,,,,,,,,,,,,,,,,,
created,X,X,,,,,,,,,,X,,X,,,,
grief,X,,X,,,X,,,,,,,,,,,,
kinds,,,,,,,,,,,,X,,,,,,X
demonstrated,,,,,,,,,,,,,,,,,,
lack,,,,,,,,,,,,X,,,X,,,
respect,X,X,,,,,,,,,,,,,,,,
weight,,,,,,,,,,,,,,,,,,
though,,,,,,,,,,,,X,,,,,,X
happens,,,,,,,,,,,,,,,,,,
guilty,X,,X,X,,,,,,,,,,,,,,
myself,,,,,,,,,,,,,,,,,,
ur,,,,,,,X,,,,,,,,,,,
calculatedly,,,,,,,,,,,,,,,,,,
unapologetic,,,,,,,,,,,,,,,,,,
race,,,,,,,,,,,,,,,,,,
won,X,X,,,,,,,,,,,,,,,,
witnessed,,,,,,,,,,,,,,,,,,
firsthand,,,,,,,,,,,,,,,,,,
beginning,,,,,,,,,,,,,,,,,,
opinion,,,,,,,,,,,,X,,,,X,,
including,,,,,,,,,,,,,,,,,,
