Word,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,
gesture,,,,,,,,,,,,,,,,,,
of,,,,,,,,,,,,,,,,,,
the,,,,,,,,,,,,,,,,,,
person,,,,,,,X,,,,,,,,,,,
tense,X,,X,X,,,,,,,,,,,,,,
comtempt,,,,,,,,,,,,,,,,,,
coldness,,,,,,,,,,,,,,,,,,
ongoing,,,,,,,,,,,,,,,,,,
melancholy,X,,X,,,X,,,,,,,,,,,,
dissapointment,,,,,,,,,,,,,,,,,,
i,,,,,,,,,,,,,,,,,,
don't,,,,,,,,,,,,,,,,,,
know,,,,,,,,,,,,X,X,,,,,
misunderstanding,,,,,,,,,,,,X,X,,,,,
letting,,,,,,,,,,,,,,,,,,
go,,,,,,,,,,,,,,,,,,
made,,,,,,,,,,,,X,,X,,,,
because,,,,,,,,,,,,X,,X,,,,
you,,,,,,,X,,,,,,,,,,,
didn't,,,,,,,,,,,,X,,,,,,X
give,,,,,,,X,,,,,,,,,,,
them,,,,,,,X,,,,,,,,,,,
anything,,,,,,,,,,,,X,,,,X,,
resentful,X,,X,,X,,,,,,,,,,,,,
grief,X,,X,,,X,,,,,,,,,,,,
justified,,,,,,,,,,,,X,X,X,,,,
emptiness,X,,X,,,X,,,,,,,,,,,,
negative,,,,,,,,,,,,,,,,,,
animosity,,,,,,,,,,,,,,,,,,
prisoner,,,,,,,,,,,,,,,,,,
dreadful,X,,X,X,,,,,,,,,,,,,,
pride,X,X,,,,,,,,,,,,,,,,
jealosy,,,,,,,,,,,,,,,,,,
ignore,X,,X,,,,,,,,,,,,,,,
holding,,,,,,,,,,,,,,,,,,
on,,,,,,,,,,,,,,,,,,
ruin,X,,X,,,X,,,,,,,,,,,,
festering,,,,,,,,,,,,,,,,,,
guilty,X,,X,X,,,,,,,,,,,,,,
passion,X,X,,,,,,,,,,,,,,,,
betrayed,,,,,,,,,,,,,,,,,,
behavior,,,,,,,,,,,,,,,,,,
argument,X,,X,,X,,X,,,,,,,,,,,
it's,,,,,,,,,,,,,,,,,,
easy,X,X,,,,,,,,,,,,,,,,
to,,,,,,,,,,,,,,,,,,
get,,,,,,,,,,,,,,,,,,
irritated,X,,X,X,,,,,,,,,,,,,,
with,,,,,,,,,,,,,,,,,,
burden,X,,X,,,,,,,,,,,,,,,
beneficial,X,X,,,,,,,,,,,,,,,,
disappointed,X,,X,,,X,,,,,,,,,,,,
unhealthy,,,,,,,,,,,,,,,,,,
jealous,X,,X,,X,,,,,,,,,,,,,
cheat,X,,X,,X,,,,,,,,,,,,,
waste,,,,,,,,,,,,,,,,,,
allow,,,,,,,,,,,,X,,X,,,,
peach,,,,,,,,,,,,,,,,,,
unforgettable,,,,,,,,,,,,,,,,,,
make,,,,,,,,,,,,X,,X,,,,
up,,,,,,,,,,,,,,,,,,
apology,,,,,,,X,,,,,,,,,,,
emotion,X,,,,,,,,,,,,,,,,,
psychology,,,,,,,,,,,,,,,,,,
distrust,X,,X,,X,,,,,,,,,,,,,
ignorance,,,,,,,,,,,,,,,,,,
venom,,,,,,,,,,,,,,,,,,
dishonesty,,,,,,,,,,,,,,,,,,
sometimes,,,,,,,,,,,,X,,,,X,,
like,,,,,,,,,,,,,,,,,,
causing,,,,,,,,,,,,X,,X,,,,
a,,,,,,,,,,,,,,,,,,
quarrel,,,,,,,,,,,,,,,,,,
forgive,X,X,,,,,X,,,,,X,X,,,,,
really,,,,,,,,,,,,X,,,,,,X
displeasure,,,,,,,,,,,,,,,,,,
gall,,,,,,,,,,,,,,,,,,
grievance,X,,X,,,X,,,,,,,,,,,,
talk,,,,,,,X,,,,,,,,,,,
wise,X,X,,,,,,,,,,X,X,,,,,
resistent,,,,,,,,,,,,,,,,,,
rage,X,,X,,X,,,,,,,,,,,,,
judgy,,,,,,,,,,,,,,,,,,
back,,,,,,,,,,,,,,,,,,
anxiety,X,,X,X,,,,,,,,,,,,,,
guilt,X,,X,X,,,,,,,,,,,,,,
off,,,,,,,,,,,,,,,,,,
uncomfortable,X,,X,X,,,,,,,,,,,,,,
focused,,,,,,,,,,,,,,,,,,
weight,,,,,,,,,,,,,,,,,,
wrathful,,,,,,,,,,,,,,,,,,
erratic,,,,,,,,,,,,,,,,,,
selfish,X,,X,,,,,,,,,,,,,,,
planning,,,,,,,,,,,,,,,,,,
deceit,,,,,,,,,,,,,,,,,,
conflict,,,,,,,,,,,,,,,,,,
ignoring,X,,X,,,,,,,,,,,,,,,
decieved,,,,,,,,,,,,,,,,,,
hostility,X,,X,,X,,X,,,,,,,,,,,
stubborness,X,,X,,X,,,,,,,,,,,,,
why,,,,,,,,,,,,X,,X,,,,
stubbornness,X,,X,,X,,,,,,,,,,,,,
protection,,,,,,,,,,,,,,,,,,
distance,,,,,,,,,,,,,,,,,,
humiliating,X,,X,X,X,,,,,,,,,,,,,
natural,,,,,,,,,,,,,,,,,,
emotions,X,,,,,,,,,,,,,,,,,
unforgiveable,,,,,,,,,,,,,,,,,,
deprival,X,,X,,,X,,,,,,,,,,,,
purple,,,,,,,,,,,,,,,,,,
forgiveness,X,X,,,,,X,,,,,X,X,,,,,
loathing,,,,,,,,,,,,,,,,,,
worthwhile,X,X,,,,,,,,,,,,,,,,
punishment,X,,X,,X,,,,,,,,,,,,,
forgiving,X,X,,,,,X,,,,,X,X,,,,,
unwilling,,,,,,,,,,,,,,,,,,
emotional,X,,X,,,,,,,,,,,,,,,
lies,X,,X,,X,,,,,,,,,,,,,
stupidity,X,,X,,X,,,,,,,,,,,,,
