Word,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,
with,,,,,,,,,,,,,,,,,,
pouting,,,,,,,,,,,,,,,,,,
low,X,,X,,,X,,,,,,,,,,,,
rancour,,,,,,,,,,,,,,,,,,
done,,,,,,,,,,,,,,,,,,
adamant,,,,,,,,,,,,,,,,,,
unsteady,,,,,,,,,,,,,,,,,,
heavy,,,,,,,,,,,,,,,,,,
moody,X,,X,,,,,,,,,,,,,,,
memorable,,,,,,,,,,,,X,X,,,,,
suspect,,,,,,,,,,,,X,X,,,,,
frustration,X,,X,,X,,,,,,,,,,,,,
understandable,,,,,,,,,,,,X,X,,,,,
aggressive,X,,X,,X,,,,,,,,,,,,,
two,,,,,,,,,,,,,,,,,,
people,,,,,,,X,,,,,,,,,,,
disrespect,,,,,,,,,,,,,,,,,,
plotting,,,,,,,,,,,,,,,,,,
personal,X,,,,,,X,,,,,,,,,,,
rummors,,,,,,,,,,,,,,,,,,
unhappy,X,,X,,,X,,,,,,,,,,,,
tears,X,,X,,,X,,,,,,,,,,,,
played,X,X,,,,,,,,,,,,,,,,
rage,X,,X,,X,,,,,,,,,,,,,
despise,X,,X,,X,,,,,,,,,,,,,
bugged,,,,,,,,,,,,,,,,,,
opinionated,,,,,,,,,,,,,,,,,,
sensitivity,,,,,,,,,,,,,,,,,,
exhaustion,X,,X,,,,,,,,,,,,,,,
deceit,,,,,,,,,,,,,,,,,,
disloyal,,,,,,,,,,,,,,,,,,
retaliation,,,,,,,,,,,,,,,,,,
rumination,,,,,,,,,,,,,,,,,,
uncomfortable,X,,X,X,,,,,,,,,,,,,,
envy,X,,X,,X,,,,,,,,,,,,,
unchanging,,,,,,,,,,,,,,,,,,
despair,X,,X,,,X,,,,,,,,,,,,
shor,,,,,,,,,,,,,,,,,,
grace,X,X,,,,,,,,,,,,,,,,
aversion,X,,X,X,,,,,,,,,,,,,,
lies,X,,X,,X,,,,,,,,,,,,,
resent,X,,X,,X,,,,,,,,,,,,,
spite,X,,X,,X,,,,,,,,,,,,,
beneficial,X,X,,,,,,,,,,,,,,,,
payback,,,,,,,,,,,,,,,,,,
altercation,,,,,,,,,,,,,,,,,,
lack,,,,,,,,,,,,X,,,X,,,
esteem,,,,,,,,,,,,,,,,,,
unfaithful,,,,,,,,,,,,,,,,,,
